packo id,N,ratio,,id,circlecount,Radius,time (ns),overlap (square units),nancount,Time,,Difference,Increase
Packomania -1/2,80,2.35721057,,Packomania -1/2 (80),80,2.458852324,7881656,1.13E-22,0,0s:7ms,,0.1016417546,4.31%
Packomania -1/2,81,2.358864905,,Packomania -1/2 (81),81,2.462287263,13538004,9.81E-23,0,0s:13ms,,0.1034223576,4.38%
Packomania -1/2,82,2.362221053,,Packomania -1/2 (82),82,2.462287263,8514815,9.37E-23,0,0s:8ms,,0.1000662097,4.24%
Packomania -1/2,83,2.364586515,,Packomania -1/2 (83),83,2.469562772,11008318,8.81E-23,0,0s:11ms,,0.1049762569,4.44%
Packomania -1/2,84,2.367639497,,Packomania -1/2 (84),84,2.470848575,10327901,1.19E-22,0,0s:10ms,,0.1032090780,4.36%
Packomania -1/2,85,2.369100792,,Packomania -1/2 (85),85,2.477635185,9715970,1.02E-22,0,0s:9ms,,0.1085343927,4.58%
Packomania -1/2,86,2.374745075,,Packomania -1/2 (86),86,2.477635185,9314019,1.16E-22,0,0s:9ms,,0.1028901101,4.33%
Packomania -1/2,87,2.37769523,,Packomania -1/2 (87),87,2.477635185,12152636,1.13E-22,0,0s:12ms,,0.0999399553,4.20%
Packomania -1/2,88,2.378456936,,Packomania -1/2 (88),88,2.477635185,10121280,8.97E-23,0,0s:10ms,,0.0991782491,4.17%
Packomania -1/2,89,2.382644831,,Packomania -1/2 (89),89,2.477635185,28178650,1.20E-22,0,0s:28ms,,0.0949903541,3.99%
Packomania -1/2,90,2.388107932,,Packomania -1/2 (90),90,2.477635185,10378450,9.94E-23,0,0s:10ms,,0.0895272530,3.75%
Packomania -1/2,91,2.40120373,,Packomania -1/2 (91),91,2.477635185,9978707,8.96E-23,0,0s:9ms,,0.0764314548,3.18%
Packomania -1/2,92,2.40172684,,Packomania -1/2 (92),92,2.477635185,16575752,1.06E-22,0,0s:16ms,,0.0759083455,3.16%
Packomania -1/2,93,2.404023803,,Packomania -1/2 (93),93,2.477635185,11337480,1.09E-22,0,0s:11ms,,0.0736113818,3.06%
Packomania -1/2,94,2.404197382,,Packomania -1/2 (94),94,2.477635185,10360409,9.02E-23,0,0s:10ms,,0.0734378028,3.05%
Packomania -1/2,95,2.410782192,,Packomania -1/2 (95),95,2.48978687,10263458,1.04E-22,0,0s:10ms,,0.0790046782,3.28%
Packomania -1/2,96,2.413190402,,Packomania -1/2 (96),96,2.490964995,25127553,9.37E-23,0,0s:25ms,,0.0777745929,3.22%
Packomania -1/2,97,2.412677724,,Packomania -1/2 (97),97,2.490964995,15182954,1.10E-22,0,0s:15ms,,0.0782872702,3.24%
Packomania -1/2,98,2.414386149,,Packomania -1/2 (98),98,2.497843145,11965746,1.32E-22,0,0s:11ms,,0.0834569954,3.46%
Packomania -1/2,99,2.416192906,,Packomania -1/2 (99),99,2.497843145,19431432,9.38E-23,0,0s:19ms,,0.0816502382,3.38%
Packomania -1/2,100,2.426033793,,Packomania -1/2 (100),100,2.495438263,27551427,1.13E-22,0,0s:27ms,,0.0694044704,2.86%
Packomania -2/3,5,1.629960525,,Packomania -2/3 (5),5,1.629960525,78290,5.38E-24,0,0s:0ms,,0.0000000000,0.00%
Packomania -2/3,6,1.629960525,,Packomania -2/3 (6),6,1.629960525,72294,9.93E-24,0,0s:0ms,,0.0000000000,0.00%
Packomania -2/3,7,1.62997278,,Packomania -2/3 (7),7,1.653697845,119947,1.01E-23,0,0s:0ms,,0.0237250648,1.46%
Packomania -2/3,8,1.631484075,,Packomania -2/3 (8),8,1.654338063,133866,6.41E-24,0,0s:0ms,,0.0228539885,1.40%
Packomania -2/3,9,1.637863996,,Packomania -2/3 (9),9,1.679866987,165909,1.22E-23,0,0s:0ms,,0.0420029910,2.56%
Packomania -2/3,10,1.646957238,,Packomania -2/3 (10),10,1.679866987,208824,1.65E-23,0,0s:0ms,,0.0329097486,2.00%
Packomania -2/3,11,1.650313825,,Packomania -2/3 (11),11,1.682192134,240750,1.66E-23,0,0s:0ms,,0.0318783092,1.93%
Packomania -2/3,12,1.656760259,,Packomania -2/3 (12),12,1.683078469,276196,1.30E-23,0,0s:0ms,,0.0263182105,1.59%
Packomania -2/3,13,1.662778033,,Packomania -2/3 (13),13,1.714281175,343055,1.36E-23,0,0s:0ms,,0.0515031423,3.10%
Packomania -2/3,14,1.670183528,,Packomania -2/3 (14),14,1.729067653,381094,2.02E-23,0,0s:0ms,,0.0588841247,3.53%
Packomania -2/3,15,1.673001055,,Packomania -2/3 (15),15,1.729067653,637292,3.03E-23,0,0s:0ms,,0.0560665977,3.35%
Packomania -2/3,16,1.679631815,,Packomania -2/3 (16),16,1.73789466,464638,1.80E-23,0,0s:0ms,,0.0582628453,3.47%
Packomania -2/3,17,1.683840973,,Packomania -2/3 (17),17,1.73789466,594512,1.80E-23,0,0s:0ms,,0.0540536868,3.21%
Packomania -2/3,18,1.686025242,,Packomania -2/3 (18),18,1.738271955,589451,1.80E-23,0,0s:0ms,,0.0522467129,3.10%
Packomania -2/3,19,1.689532602,,Packomania -2/3 (19),19,1.770039695,1003586,3.11E-23,0,0s:1ms,,0.0805070930,4.77%
Packomania -2/3,20,1.696447725,,Packomania -2/3 (20),20,1.770039695,849365,3.11E-23,0,0s:0ms,,0.0735919695,4.34%
Packomania -2/3,21,1.698943028,,Packomania -2/3 (21),21,1.770039695,1163113,2.08E-23,0,0s:1ms,,0.0710966671,4.18%
Packomania -2/3,22,1.700668034,,Packomania -2/3 (22),22,1.770757259,792508,2.13E-23,0,0s:0ms,,0.0700892256,4.12%
Packomania -2/3,23,1.703933782,,Packomania -2/3 (23),23,1.770757259,857664,3.60E-23,0,0s:0ms,,0.0668234774,3.92%
Packomania -2/3,24,1.705387705,,Packomania -2/3 (24),24,1.770757259,895857,3.60E-23,0,0s:0ms,,0.0653695549,3.83%
Packomania -2/3,25,1.712330424,,Packomania -2/3 (25),25,1.770757259,1020625,2.57E-23,0,0s:1ms,,0.0584268354,3.41%
Packomania -2/3,26,1.714593298,,Packomania -2/3 (26),26,1.771802524,1742068,2.69E-23,0,0s:1ms,,0.0572092258,3.34%
Packomania -2/3,27,1.718985638,,Packomania -2/3 (27),27,1.785339316,1656968,4.14E-23,0,0s:1ms,,0.0663536785,3.86%
Packomania -2/3,28,1.721909048,,Packomania -2/3 (28),28,1.785339316,1630581,4.14E-23,0,0s:1ms,,0.0634302683,3.68%
Packomania -2/3,29,1.722427772,,Packomania -2/3 (29),29,1.785339316,1864777,2.74E-23,0,0s:1ms,,0.0629115448,3.65%
Packomania -2/3,30,1.725040754,,Packomania -2/3 (30),30,1.785339316,7815823,2.85E-23,0,0s:7ms,,0.0602985628,3.50%
Packomania -2/3,31,1.72537599,,Packomania -2/3 (31),31,1.785339316,12451166,5.07E-23,0,0s:12ms,,0.0599633265,3.48%
Packomania -2/3,32,1.727084673,,Packomania -2/3 (32),32,1.785339316,2095827,2.98E-23,0,0s:2ms,,0.0582546429,3.37%
Packomania -2/3,33,1.731890808,,Packomania -2/3 (33),33,1.785339316,2418480,2.86E-23,0,0s:2ms,,0.0534485086,3.09%
Packomania -2/3,34,1.732984603,,Packomania -2/3 (34),34,1.785339316,2397462,5.42E-23,0,0s:2ms,,0.0523547133,3.02%
Packomania -2/3,35,1.733788081,,Packomania -2/3 (35),35,1.785339316,1851284,5.44E-23,0,0s:1ms,,0.0515512354,2.97%
Packomania -2/3,36,1.733942525,,Packomania -2/3 (36),36,1.785339316,2428765,5.32E-23,0,0s:2ms,,0.0513967910,2.96%
Packomania -2/3,37,1.73433911,,Packomania -2/3 (37),37,1.785480739,1741375,2.91E-23,0,0s:1ms,,0.0511416288,2.95%
Packomania -2/3,38,1.736647727,,Packomania -2/3 (38),38,1.785480739,1863526,2.93E-23,0,0s:1ms,,0.0488330114,2.81%
Packomania -2/3,39,1.740163339,,Packomania -2/3 (39),39,1.793653228,1850155,5.70E-23,0,0s:1ms,,0.0534898894,3.07%
Packomania -2/3,40,1.740440323,,Packomania -2/3 (40),40,1.793653228,1832637,5.70E-23,0,0s:1ms,,0.0532129052,3.06%
Packomania -2/3,41,1.743049384,,Packomania -2/3 (41),41,1.793653228,1973430,3.81E-23,0,0s:1ms,,0.0506038436,2.90%
Packomania -2/3,42,1.74463862,,Packomania -2/3 (42),42,1.793653228,2245548,5.13E-23,0,0s:2ms,,0.0490146083,2.81%
Packomania -2/3,43,1.746050874,,Packomania -2/3 (43),43,1.793653228,2134068,6.09E-23,0,0s:2ms,,0.0476023541,2.73%
Packomania -2/3,44,1.747310651,,Packomania -2/3 (44),44,1.793653228,2241118,3.00E-23,0,0s:2ms,,0.0463425767,2.65%
Packomania -2/3,45,1.74702235,,Packomania -2/3 (45),45,1.793653228,2338927,3.00E-23,0,0s:2ms,,0.0466308777,2.67%
Packomania -2/3,46,1.747830527,,Packomania -2/3 (46),46,1.793653228,2436163,3.32E-23,0,0s:2ms,,0.0458227015,2.62%
Packomania -2/3,47,1.750876036,,Packomania -2/3 (47),47,1.793653228,2539773,4.10E-23,0,0s:2ms,,0.0427771925,2.44%
Packomania -2/3,48,1.752745314,,Packomania -2/3 (48),48,1.79723811,2601936,5.44E-23,0,0s:2ms,,0.0444927958,2.54%
Packomania -2/3,49,1.753835619,,Packomania -2/3 (49),49,1.79723811,2612315,6.29E-23,0,0s:2ms,,0.0434024905,2.47%
Packomania -2/3,50,1.754493929,,Packomania -2/3 (50),50,1.79723811,2830962,4.95E-23,0,0s:2ms,,0.0427441809,2.44%
Packomania -2/3,51,1.754510736,,Packomania -2/3 (51),51,1.79723811,2944057,7.10E-23,0,0s:2ms,,0.0427273733,2.44%
Packomania -2/3,52,1.754548663,,Packomania -2/3 (52),52,1.79723811,2844853,6.67E-23,0,0s:2ms,,0.0426894470,2.43%
Packomania -2/3,53,1.757284994,,Packomania -2/3 (53),53,1.797834156,5209831,5.24E-23,0,0s:5ms,,0.0405491620,2.31%
Packomania -2/3,54,1.76113362,,Packomania -2/3 (54),54,1.801421901,4066003,4.67E-23,0,0s:4ms,,0.0402882810,2.29%
Packomania -2/3,55,1.768231856,,Packomania -2/3 (55),55,1.801421901,3278236,6.00E-23,0,0s:3ms,,0.0331900447,1.88%
Missing from website,56,Missing,,Packomania -2/3 (56),56,1.803122244,3429766,5.13E-23,0,0s:3ms,,,
Packomania -2/3,57,1.772557462,,Packomania -2/3 (57),57,1.803122244,7825501,5.16E-23,0,0s:7ms,,0.0305647820,1.72%
Packomania -2/3,58,1.772711083,,Packomania -2/3 (58),58,1.803122244,6618662,6.70E-23,0,0s:6ms,,0.0304111611,1.72%
Packomania -2/3,59,1.774022224,,Packomania -2/3 (59),59,1.803122244,4925208,6.83E-23,0,0s:4ms,,0.0291000203,1.64%
Packomania -2/3,60,1.772831554,,Packomania -2/3 (60),60,1.806012683,4150304,7.97E-23,0,0s:4ms,,0.0331811293,1.87%
Packomania -1/5,5,2.244615846,,Packomania -1/5 (5),5,2.417764166,53382,3.31E-24,0,0s:0ms,,0.1731483194,7.71%
Packomania -1/5,6,2.387986383,,Packomania -1/5 (6),6,2.490641404,75509,3.31E-24,0,0s:0ms,,0.1026550210,4.30%
Packomania -1/5,7,2.422623343,,Packomania -1/5 (7),7,2.541024002,237583,6.62E-24,0,0s:0ms,,0.1184006594,4.89%
Packomania -1/5,8,2.523820904,,Packomania -1/5 (8),8,2.802493413,144833,1.41E-23,0,0s:0ms,,0.2786725086,11.04%
Packomania -1/5,9,2.630026572,,Packomania -1/5 (9),9,2.893082814,170977,1.74E-23,0,0s:0ms,,0.2630562428,10.00%
Packomania -1/5,10,2.715784826,,Packomania -1/5 (10),10,3.043778646,202150,1.82E-23,0,0s:0ms,,0.3279938201,12.08%
