id,circlecount,size (radius),time (ns),overlap (square units),nancount,Time
Packomania 1/2 (210),210,165.1317966,27268002,4.46E-19,0,0s:27ms
Packomania 1/2 (215),215,169.0203607,28239560,5.05E-19,0,0s:28ms
Packomania 1/2 (220),220,172.5390454,29981948,4.51E-19,0,0s:29ms
Packomania 1/2 (225),225,177.542319,31709536,5.21E-19,0,0s:31ms
Packomania 1/2 (230),230,180.714303,32612546,5.19E-19,0,0s:32ms
Packomania 1/2 (235),235,184.5412236,33371011,5.35E-19,0,0s:33ms
Packomania 1/2 (240),240,188.7016149,34394647,5.37E-19,0,0s:34ms
Packomania 1/2 (245),245,192.2475854,35081796,6.17E-19,0,0s:35ms
Packomania 1/2 (250),250,195.7658459,37129509,6.22E-19,0,0s:37ms
Packomania 1/2 (255),255,200.4262244,37110582,6.71E-19,0,0s:37ms
Packomania 1/2 (260),260,203.7903222,38548995,8.38E-19,0,0s:38ms
Packomania 1/2 (265),265,207.6218597,39258385,8.89E-19,0,0s:39ms
Packomania 1/2 (270),270,211.3834331,40293546,8.55E-19,0,0s:40ms
Packomania 1/2 (275),275,215.1642398,42550826,9.50E-19,0,0s:42ms
Packomania 1/2 (280),280,219.2278677,43299261,8.38E-19,0,0s:43ms
Packomania 1/2 (285),285,223.656158,43787898,9.54E-19,0,0s:43ms
Packomania 1/2 (290),290,226.903278,45668350,9.43E-19,0,0s:45ms
Packomania 1/2 (295),295,230.7994902,46801155,1.10E-18,0,0s:46ms
Packomania 1/2 (300),300,234.6681225,47681183,9.59E-19,0,0s:47ms
Packomania 1/2 (305),305,238.5051768,50266759,1.09E-18,0,0s:50ms
Packomania 1/2 (310),310,243.3099584,51870076,9.40E-19,0,0s:51ms
Packomania 1/2 (315),315,247.0706903,54361088,1.15E-18,0,0s:54ms
Packomania 1/2 (320),320,251.2033705,58123854,1.05E-18,0,0s:58ms
Packomania 1/2 (325),325,255.1719615,56915138,1.48E-18,0,0s:56ms
Packomania 1/2 (330),330,257.9970656,57022049,1.25E-18,0,0s:57ms
Packomania 1/2 (335),335,262.5511235,57753015,1.34E-18,0,0s:57ms
Packomania 1/2 (340),340,265.9126966,59128333,1.56E-18,0,0s:59ms
Packomania 1/2 (345),345,270.1469745,60487585,1.54E-18,0,0s:60ms
Packomania 1/2 (350),350,273.161874,60813382,1.50E-18,0,0s:60ms
Packomania 1/2 (355),355,277.8346517,64677978,1.52E-18,0,0s:64ms
Packomania 1/2 (360),360,281.1886388,64784742,1.82E-18,0,0s:64ms
Packomania 1/2 (365),365,284.9948165,66263356,1.81E-18,0,0s:66ms
Packomania 1/2 (370),370,289.3322195,70966198,1.85E-18,0,0s:70ms
Packomania 1/2 (375),375,292.9225658,68359276,2.19E-18,0,0s:68ms
Packomania 1/2 (380),380,296.0780502,68766937,2.06E-18,0,0s:68ms
Packomania 1/2 (385),385,301.0845836,71895305,1.98E-18,0,0s:71ms
Packomania 1/2 (390),390,304.3952004,72881825,2.09E-18,0,0s:72ms
Packomania 1/2 (395),395,308.1938475,74110528,2.03E-18,0,0s:74ms
Packomania 1/2 (400),400,312.5865133,75263227,2.16E-18,0,0s:75ms
Packomania 1/2 (405),405,316.4206369,80478983,2.27E-18,0,0s:80ms
